name,city,country,iata,icao,lat,lon,elev,tz,dst,olsontz
Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.775583,80,-8,A,America/Vancouver
Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.9508018493652,-125.271003723145,346,-8,A,America/Vancouver
Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.2963981628,-117.632003784,1624,-8,A,America/Vancouver
Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,49.1528015137,-121.939002991,32,-8,A,America/Vancouver
Dawson City Airport,Dawson,Canada,YDA,CYDA,64.043098449707,-139.128005981445,1215,-8,A,America/Vancouver
Burwash Airport,Burwash,Canada,YDB,CYDB,61.3711013793945,-139.041000366211,2647,-8,A,America/Vancouver
Princeton Airport,Princeton,Canada,\N,CYDC,49.4681015015,-120.511001587,2298,-8,A,America/Vancouver
Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,58.4221992493,-130.031997681,2600,-8,A,America/Vancouver
Kamloops Airport,Kamloops,Canada,YKA,CYKA,50.7022018433,-120.444000244,1133,-8,A,America/Vancouver
Kelowna International Airport,Kelowna,Canada,YLW,CYLW,49.9561004639,-119.377998352,1421,-8,A,America/Vancouver
Mayo Airport,Mayo,Canada,YMA,CYMA,63.6164016723633,-135.86799621582,1653,-8,A,America/Vancouver
Old Crow Airport,Old Crow,Canada,YOC,CYOC,67.5706024169922,-139.839004516602,824,-8,A,America/Vancouver
Pitt Meadows Airport,Pitt Meadows,Canada,\N,CYPK,49.2160987854004,-122.709999084473,11,-8,A,America/Vancouver
Prince Rupert Airport,Prince Pupert,Canada,YPR,CYPR,54.2860984802,-130.445007324,116,-8,A,America/Vancouver
Watson Lake Airport,Watson Lake,Canada,YQH,CYQH,60.1164016723633,-128.822006225586,2255,-8,A,America/Vancouver
Comox Airport,Comox,Canada,YQQ,CYQQ,49.7108001708984,-124.887001037598,84,-8,A,America/Vancouver
Quesnel Airport,Quesnel,Canada,YQZ,CYQZ,53.0261001586914,-122.51000213623,1789,-8,A,America/Vancouver
Vancouver International Airport,Vancouver,Canada,YVR,CYVR,49.193901062,-123.183998108,14,-8,A,America/Vancouver
Williams Lake Airport,Williams Lake,Canada,YWL,CYWL,52.1831016541,-122.054000854,3085,-8,A,America/Vancouver
Prince George Airport,Prince George,Canada,YXS,CYXS,53.8894004822,-122.679000854,2267,-8,A,America/Vancouver
Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT,54.468498,-128.576009,713,-8,A,America/Vancouver
Abbotsford Airport,Abbotsford,Canada,YXX,CYXX,49.0252990722656,-122.361000061035,195,-8,A,America/Vancouver
Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,CYXY,60.7095985413,-135.067001343,2317,-8,A,America/Vancouver
Smithers Airport,Smithers,Canada,YYD,CYYD,54.8246994018555,-127.182998657227,1712,-8,A,America/Vancouver
Fort Nelson Airport,Fort Nelson,Canada,YYE,CYYE,58.8363990784,-122.597000122,1253,-8,A,America/Vancouver
Penticton Airport,Penticton,Canada,YYF,CYYF,49.4631004333496,-119.601997375488,1129,-8,A,America/Vancouver
Victoria International Airport,Victoria,Canada,YYJ,CYYJ,48.646900177,-123.426002502,63,-8,A,America/Vancouver
Sandspit Airport,Sandspit,Canada,YZP,CYZP,53.2542991638,-131.813995361,21,-8,A,America/Vancouver
Port Hardy Airport,Port Hardy,Canada,YZT,CYZT,50.6805992126465,-127.366996765137,71,-8,A,America/Vancouver
Teslin Airport,Teslin,Canada,YZW,CYZW,60.1727981567383,-132.74299621582,2313,-8,A,America/Vancouver
Faro Airport,Faro,Canada,ZFA,CZFA,62.2075004577637,-133.376007080078,2351,-8,A,America/Vancouver
Ensenada International Airport,Ensenada,Mexico,ESE,MMES,31.7953,-116.602997,66,-8,S,America/Tijuana
General Rodolfo Sánchez Taboada International Airport,Mexicali,Mexico,MXL,MMML,32.6306,-115.241997,74,-8,S,America/Tijuana
San Felipe International Airport,San Filipe,Mexico,SFH,MMSF,30.930200576782,-114.80899810791,148,-8,S,America/Tijuana
General Abelardo L. Rodríguez International Airport,Tijuana,Mexico,TIJ,MMTJ,32.5410995483398,-116.970001220703,489,-8,S,America/Tijuana
Marina Municipal Airport,Fort Ord,United States,OAR,KOAR,36.68190002,-121.762001,137,-8,A,America/Los_Angeles
Sacramento Mather Airport,Sacramento,United States,MHR,KMHR,38.55390167,-121.2979965,98,-8,A,America/Los_Angeles
Bicycle Lake Army Air Field,Fort Irwin,United States,BYS,KBYS,35.2804985046,-116.629997253,2350,-8,A,America/Los_Angeles
Twentynine Palms (Self) Airport,Twenty Nine Palms,United States,\N,KNXP,34.2961998,-116.1620026,2051,-8,A,America/Los_Angeles
Travis Air Force Base,Fairfield,United States,SUU,KSUU,38.262699127197,-121.92700195312,62,-8,A,America/Los_Angeles
Metropolitan Oakland International Airport,Oakland,United States,OAK,KOAK,37.721298,-122.221001,9,-8,A,America/Los_Angeles
Port Angeles Cgas Airport,Port Angeles,United States,\N,KNOW,48.1414985656738,-123.414001464844,13,-8,A,America/Los_Angeles
Spokane International Airport,Spokane,United States,GEG,KGEG,47.6198997497559,-117.533996582031,2376,-8,A,America/Los_Angeles
San Francisco International Airport,San Francisco,United States,SFO,KSFO,37.6189994812012,-122.375,13,-8,A,America/Los_Angeles
Los Angeles International Airport,Los Angeles,United States,LAX,KLAX,33.94250107,-118.4079971,125,-8,A,America/Los_Angeles
China Lake Naws (Armitage Field) Airport,China Lake,United States,\N,KNID,35.6853981,-117.6920013,2283,-8,A,America/Los_Angeles
Creech Air Force Base,Indian Springs,United States,INS,KINS,36.5872001648,-115.672996521,3133,-8,A,America/Los_Angeles
Miramar Marine Corps Air Station - Mitscher Field,Miramar,United States,NKX,KNKX,32.86840057,-117.1429977,477,-8,A,America/Los_Angeles
Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,United States,HHR,KHHR,33.922798,-118.334999,66,-8,A,America/Los_Angeles
Point Mugu Naval Air Station (Naval Base Ventura Co),Point Mugu,United States,NTD,KNTD,34.120300293,-119.121002197,13,-8,A,America/Los_Angeles
Edwards Air Force Base,Edwards Afb,United States,EDW,KEDW,34.905399,-117.884003,2312,-8,A,America/Los_Angeles
Lemoore Naval Air Station (Reeves Field) Airport,Lemoore,United States,NLC,KNLC,36.33300018,-119.9520035,232,-8,A,America/Los_Angeles
Gray Army Air Field,Fort Lewis,United States,GRF,KGRF,47.07920074,-122.5810013,300,-8,A,America/Los_Angeles
Southern California Logistics Airport,Victorville,United States,VCV,KVCV,34.5974998474,-117.383003235,2885,-8,A,America/Los_Angeles
Meadows Field,Bakersfield,United States,BFL,KBFL,35.43360138,-119.0569992,510,-8,A,America/Los_Angeles
Whidbey Island Naval Air Station (Ault Field),Whidbey Island,United States,NUW,KNUW,48.351799,-122.655998,47,-8,A,America/Los_Angeles
Seattle Tacoma International Airport,Seattle,United States,SEA,KSEA,47.449001,-122.308998,433,-8,A,America/Los_Angeles
Long Beach /Daugherty Field/ Airport,Long Beach,United States,LGB,KLGB,33.81769943,-118.1520004,60,-8,A,America/Los_Angeles
Tonopah Test Range Airport,Tonopah,United States,XSD,KTNX,37.7988014221,-116.78099823,5549,-8,A,America/Los_Angeles
North Island Naval Air Station-Halsey Field,San Diego,United States,NZY,KNZY,32.69919968,-117.2149963,26,-8,A,America/Los_Angeles
Grant County International Airport,Grant County Airport,United States,MWH,KMWH,47.20769882,-119.3199997,1189,-8,A,America/Los_Angeles
San Nicolas Island Nolf Airport,San Nicolas Island,United States,\N,KNSI,33.2397994995117,-119.458000183105,506,-8,A,America/Los_Angeles
Scappoose Industrial Airpark,San Luis,United States,\N,KSPB,45.7709999084473,-122.861999511719,58,-8,A,America/Los_Angeles
Beale Air Force Base,Marysville,United States,BAB,KBAB,39.136100769,-121.43699646,113,-8,A,America/Los_Angeles
Rancho Murieta Airport,Rancho Murieta,United States,\N,KRIU,38.4868011474609,-121.102996826172,141,-8,A,America/Los_Angeles
Bob Hope Airport,Burbank,United States,BUR,KBUR,34.2006988525391,-118.359001159668,778,-8,A,America/Los_Angeles
Sacramento Executive Airport,Sacramento,United States,SAC,KSAC,38.5125007629,-121.492996216,24,-8,A,America/Los_Angeles
Fairchild Air Force Base,Spokane,United States,SKA,KSKA,47.6151008606,-117.65599823,2461,-8,A,America/Los_Angeles
McChord Air Force Base,Tacoma,United States,TCM,KTCM,47.1376991272,-122.475997925,322,-8,A,America/Los_Angeles
Castle Airport,Merced,United States,MER,KMER,37.38050079,-120.5680008,191,-8,A,America/Los_Angeles
Mc Clellan Airfield,Sacramento,United States,MCC,KMCC,38.66759872,-121.401001,77,-8,A,America/Los_Angeles
Fresno Yosemite International Airport,Fresno,United States,FAT,KFAT,36.7761993408203,-119.718002319336,336,-8,A,America/Los_Angeles
Imperial County Airport,Imperial,United States,IPL,KIPL,32.8342018127,-115.57900238,-54,-8,A,America/Los_Angeles
Calexico International Airport,Calexico,United States,CXL,KCXL,32.6694984436,-115.513000488,4,-8,A,America/Los_Angeles
Chico Municipal Airport,Chico,United States,CIC,KCIC,39.79539871,-121.8580017,240,-8,A,America/Los_Angeles
Felts Field,Spokane,United States,SFF,KSFF,47.682800292969,-117.32299804688,1953,-8,A,America/Los_Angeles
Portland International Airport,Portland,United States,PDX,KPDX,45.58869934,-122.5979996,31,-8,A,America/Los_Angeles
Boeing Field King County International Airport,Seattle,United States,BFI,KBFI,47.5299987792969,-122.302001953125,21,-8,A,America/Los_Angeles
San Diego International Airport,San Diego,United States,SAN,KSAN,32.7336006165,-117.190002441,17,-8,A,America/Los_Angeles
Ontario International Airport,Ontario,United States,ONT,KONT,34.0559997558594,-117.600997924805,944,-8,A,America/Los_Angeles
Fallon Naval Air Station,Fallon,United States,NFL,KNFL,39.41659927,-118.7009964,3934,-8,A,America/Los_Angeles
Norman Y. Mineta San Jose International Airport,San Jose,United States,SJC,KSJC,37.362598,-121.929001,62,-8,A,America/Los_Angeles
Palmdale Regional/USAF Plant 42 Airport,Palmdale,United States,PMD,KPMD,34.62939835,-118.0849991,2543,-8,A,America/Los_Angeles
