name,city,country,iata,icao,lat,lon,elev,tz,dst,olsontz
Clarence A Bain,Clarence Bain,Bahamas,,MYAB,24.287664,-77.684614,19,-5,U,America/Nassau
Fresh Creek,Andros Town,Bahamas,ASD,MYAF,24.698283,-77.795611,5,-5,U,America/Nassau
Marsh Harbour,Marsh Harbor,Bahamas,MHH,MYAM,26.511406,-77.083472,6,-5,U,America/Nassau
San Andros,San Andros,Bahamas,SAQ,MYAN,25.053814,-78.048997,5,-5,U,America/Nassau
Spring Point,Spring Point,Bahamas,AXP,MYAP,22.441828,-73.970858,11,-5,U,America/Nassau
Sandy Point,Sandy Point,Bahamas,,MYAS,26.004639,-77.395483,8,-5,U,America/Nassau
Treasure Cay,Treasure Cay,Bahamas,TCB,MYAT,26.745336,-77.391269,8,-5,U,America/Nassau
Chub Cay,Chub Cay,Bahamas,CCZ,MYBC,25.417108,-77.88085,5,-5,U,America/Nassau
Great Harbour Cay,Bullocks Harbour,Bahamas,,MYBG,25.738331,-77.840114,18,-5,U,America/Nassau
South Bimini,Alice Town,Bahamas,BIM,MYBS,25.699881,-79.264656,10,-5,U,America/Nassau
Exuma Intl,Great Exuma,Bahamas,GGT,MYEF,23.562631,-75.877958,9,-5,U,America/Nassau
George Town,George Town,Bahamas,,MYEG,23.466667,-75.78167,5,-5,U,America/Nassau
North Eleuthera,North Eleuthera,Bahamas,ELH,MYEH,25.474861,-76.683489,13,-5,U,America/Nassau
Governors Harbour,Governor's Harbor,Bahamas,GHB,MYEM,25.284706,-76.331011,26,-5,U,America/Nassau
Normans Cay,Norman's Cay,Bahamas,,MYEN,24.594258,-76.820214,8,-5,U,America/Nassau
Rock Sound,Rock Sound,Bahamas,RSD,MYER,24.8917,-76.177739,10,-5,U,America/Nassau
Staniel Cay,Staniel Cay,Bahamas,,MYES,24.169083,-76.439056,5,-5,U,America/Nassau
Grand Bahama Intl,Freeport,Bahamas,FPO,MYGF,26.558686,-78.695553,7,-5,U,America/Nassau
Matthew Town,Matthew Town,Bahamas,IGA,MYIG,20.975,-73.666862,8,-5,U,America/Nassau
Deadmans Cay,Dead Man's Cay,Bahamas,LGI,MYLD,23.179014,-75.093597,9,-5,U,America/Nassau
Stella Maris,Stella Maris,Bahamas,SML,MYLS,23.581444,-75.270475,10,-5,U,America/Nassau
Mayaguana,Mayaguana,Bahamas,MYG,MYMM,22.379528,-73.0135,11,-5,U,America/Nassau
Lynden Pindling Intl,Nassau,Bahamas,NAS,MYNN,25.038958,-77.466231,16,-5,U,America/Nassau
Duncan Town,Duncan Town,Bahamas,,MYRD,22.181803,-75.729456,6,-5,U,America/Nassau
New Port Nelson,Port Nelson,Bahamas,,MYRP,23.684378,-74.836186,15,-5,U,America/Nassau
San Salvador,Cockburn Town,Bahamas,ZSA,MYSM,24.063275,-74.523967,24,-5,U,America/Nassau
Bimini North Seaplane Base,Bimini,Bahamas,NSB,\N,25.767,-79.25,0,-5,U,America/Nassau
Nassau Paradise Island Airport,Nassau,Bahamas,PID,MYPI,25.083,-77.3,0,-5,U,America/Nassau
Colonel Hill Airport,Colonel Hill,Bahamas,CRI,MYCI,22.745561,-74.182353,5,-5,U,America/Nassau
New Bight Airport,Cat Island,Bahamas,CAT,MYCB,24.315292,-75.452331,5,-5,U,America/Nassau
Arthurs Town Airport,Arthur's Town,Bahamas,ATC,MYCA,24.629417,-75.673775,18,-5,U,America/Nassau
Congo Town Airport,Andros,Bahamas,COX,MYAK,24.158933,-77.589758,15,-5,U,America/Nassau
Nassau Cruise Terminal,Nassau,Bahamas,,\N,25.081158,-77.341207,0,-5,A,America/Nassau
Paradise Island Seaplane Base,Nassau,Bahamas,WZY,\N,25.0872,-77.3239,0,-5,U,America/Nassau
Cococay,Ragged Island,Bahamas,,\N,22.148056,-75.693333,0,-5,A,America/Nassau
Ship Channel Cay,Ship Channel Cay,Bahamas,,\N,24.819302,-76.824331,0,-5,A,America/Nassau
Half Moon Cay,Little San Salvador Island,Bahamas,,HMCY,24.574135,-75.955868,0,-5,U,America/Nassau
Sault Ste Marie,Sault Sainte Marie,Canada,YAM,CYAM,46.485001,-84.509445,630,-5,A,America/Toronto
Winnipeg St Andrews,Winnipeg,Canada,YAV,CYAV,50.056389,-97.0325,760,-6,A,America/Winnipeg
Shearwater,Halifax,Canada,YAW,CYAW,44.639721,-63.499444,167,-4,A,America/Halifax
St Anthony,St. Anthony,Canada,YAY,CYAY,51.391944,-56.083056,108,-3.5,A,America/St_Johns
Tofino,Tofino,Canada,YAZ,CYAZ,49.082222,-125.7725,80,-8,A,America/Vancouver
Kugaaruk,Pelly Bay,Canada,YBB,CYBB,68.534444,-89.808056,56,-7,A,America/Edmonton
Baie Comeau,Baie Comeau,Canada,YBC,CYBC,49.1325,-68.204444,71,-5,A,America/Toronto
Bagotville,Bagotville,Canada,YBG,CYBG,48.330555,-70.996391,522,-5,A,America/Toronto
Baker Lake,Baker Lake,Canada,YBK,CYBK,64.298889,-96.077778,59,-6,A,America/Winnipeg
Campbell River,Campbell River,Canada,YBL,CYBL,49.950832,-125.270833,346,-8,A,America/Vancouver
Brandon Muni,Brandon,Canada,YBR,CYBR,49.91,-99.951944,1343,-6,A,America/Winnipeg
Cambridge Bay,Cambridge Bay,Canada,YCB,CYCB,69.108055,-105.138333,90,-7,A,America/Edmonton
Nanaimo,Nanaimo,Canada,YCD,CYCD,49.052333,-123.870167,93,-8,A,America/Vancouver
Castlegar,Castlegar,Canada,YCG,CYCG,49.296389,-117.6325,1624,-8,A,America/Vancouver
Miramichi,Chatham,Canada,YCH,CYCH,47.007778,-65.449167,108,-4,A,America/Halifax
Charlo,Charlo,Canada,YCL,CYCL,47.990833,-66.330278,132,-4,A,America/Halifax
Kugluktuk,Coppermine,Canada,YCO,CYCO,67.816667,-115.143889,74,-7,A,America/Edmonton
Coronation,Coronation,Canada,YCT,CYCT,52.075001,-111.445278,2595,-7,A,America/Edmonton
Chilliwack,Chilliwack,Canada,YCW,CYCW,49.152779,-121.93889,32,-8,A,America/Vancouver
Clyde River,Clyde River,Canada,YCY,CYCY,70.486111,-68.516667,87,-5,A,America/Toronto
Fairmont Hot Springs,Coral Harbour,Canada,YZS,CYCZ,64.193333,-83.359444,2661,-5,A,America/Coral_Harbour
Dawson City,Dawson,Canada,YDA,CYDA,64.043056,-139.127778,1215,-8,A,America/Vancouver
Burwash,Burwash,Canada,YDB,CYDB,61.371111,-139.040556,2647,-8,A,America/Vancouver
Princeton,Princeton,Canada,YDC,CYDC,49.468056,-120.511389,2298,-8,A,America/Vancouver
Deer Lake,Deer Lake,Canada,YDF,CYDF,49.210833,-57.391388,72,-3.5,A,America/St_Johns
Dease Lake,Dease Lake,Canada,YDL,CYDL,58.422222,-130.032222,2600,-8,A,America/Vancouver
Dauphin Barker,Dauphin,Canada,YDN,CYDN,51.100834,-100.0525,999,-6,A,America/Winnipeg
Dawson Creek,Dawson Creek,Canada,YDQ,CYDQ,55.742333,-120.183,2148,-7,A,America/Dawson_Creek
Edmonton Intl,Edmonton,Canada,YEG,CYEG,53.309723,-113.579722,2373,-7,A,America/Edmonton
Arviat,Eskimo Point,Canada,YEK,CYEK,61.094166,-94.070833,32,-6,A,America/Winnipeg
Estevan,Estevan,Canada,YEN,CYEN,49.210278,-102.965833,1905,-6,N,America/Regina
Edson,Edson,Canada,YET,CYET,53.578888,-116.465,3041,-7,A,America/Edmonton
Eureka,Eureka,Canada,YEU,CYEU,79.994722,-85.814167,256,-6,A,America/Winnipeg
